ref,state,constituency,won status,votes,(votes),Name,Party Name
269,Haryana,BHIWANI-MAHENDRAGARH(8),lost,229,( -588435),JAGDISH,Independent
270,Haryana,BHIWANI-MAHENDRAGARH(8),,5287,( -583377),NOTA,None of the Above
271,Haryana,KARNAL(5),won,739285,(+ 232577),MANOHAR LAL,Bharatiya Janata Party
272,Haryana,KARNAL(5),lost,506708,( -232577),DIVYANSHU BUDHIRAJA,Indian National Congress
273,Haryana,KARNAL(5),lost,32508,( -706777),INDER SINGH,Bahujan Samaj Party
274,Haryana,KARNAL(5),lost,29151,( -710134),MARATHA VIRENDER VERMA,Nationalist Congress Party – Sharadchandra Pawar
275,Haryana,KARNAL(5),lost,11467,( -727818),DEVENDER KADIAN,Jannayak Janta Party
276,Haryana,KARNAL(5),lost,4004,( -735281),MANOJ BANSAL,Independent
277,Haryana,KARNAL(5),lost,2994,( -736291),GULSHAN KASHYAP,Independent
278,Haryana,KARNAL(5),lost,2904,( -736381),ASHOK KATARIA,Samst Samaj Party
279,Haryana,KARNAL(5),lost,1866,( -737419),HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
280,Haryana,KARNAL(5),lost,1851,( -737434),SONIA,Independent
281,Haryana,KARNAL(5),lost,1587,( -737698),MANISH,Independent
282,Haryana,KARNAL(5),lost,1292,( -737993),LEENA KOHLI,Independent
283,Haryana,KARNAL(5),lost,1253,( -738032),NITIN GEHLOT,Peoples Party of India (Democratic)
284,Haryana,KARNAL(5),lost,1188,( -738097),BALWAN SINGH,Independent
285,Haryana,KARNAL(5),lost,1020,( -738265),VINEET CHOUDHARY,Bharatiya Asha Party
286,Haryana,KARNAL(5),lost,769,( -738516),ROOP SINGH,Rashtriya Garib Dal
287,Haryana,KARNAL(5),lost,752,( -738533),SAWAMI AGNIVESH,Independent
288,Haryana,KARNAL(5),lost,705,( -738580),AZAD SINGH PUNIA,Independent
289,Haryana,KARNAL(5),lost,633,( -738652),ASHOK KUMAR,Independent
290,Haryana,KARNAL(5),,3955,( -735330),NOTA,None of the Above
291,Haryana,KURUKSHETRA(2),won,542175,(+ 29021),NAVEEN JINDAL,Bharatiya Janata Party
292,Haryana,KURUKSHETRA(2),lost,513154,( -29021),DR SUSHIL GUPTA,Aam Aadmi Party
293,Haryana,KURUKSHETRA(2),lost,78708,( -463467),ABHAY SINGH CHAUTALA,Indian National Lok Dal
294,Haryana,KURUKSHETRA(2),lost,20944,( -521231),DEEPAK MEHRA,Bahujan Samaj Party
295,Haryana,KURUKSHETRA(2),lost,8093,( -534082),JAI KUMAR  SAINI HAMIDPUR,Independent
296,Haryana,KURUKSHETRA(2),lost,6182,( -535993),PALA RAM SAINI,Jannayak Janta Party
297,Haryana,KURUKSHETRA(2),lost,3263,( -538912),SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya)
298,Haryana,KURUKSHETRA(2),lost,2859,( -539316),KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
299,Haryana,KURUKSHETRA(2),lost,2783,( -539392),MAHAVIR SINGH,Ekam Sanatan Bharat Dal
300,Haryana,KURUKSHETRA(2),lost,2113,( -540062),INDERJEET KAMBOJ,Peoples Party of India (Democratic)
301,Haryana,KURUKSHETRA(2),lost,2056,( -540119),PANDIT ANIL UPADHYAY,Independent
302,Haryana,KURUKSHETRA(2),lost,2029,( -540146),ADV ASHWINI SHARMA HRITTWAL,Independent
303,Haryana,KURUKSHETRA(2),lost,1812,( -540363),COMRADE OM PARKASH SHASTRI,Socialist Unity Centre Of India (COMMUNIST)
304,Haryana,KURUKSHETRA(2),lost,1599,( -540576),SURENDER SINGH,Independent
305,Haryana,KURUKSHETRA(2),lost,1506,( -540669),AMIT MALIK,Independent
306,Haryana,KURUKSHETRA(2),lost,1379,( -540796),PATASHO DEVI EX-SARPANCH,Independent
307,Haryana,KURUKSHETRA(2),lost,1340,( -540835),DR MAHESH CHAND GAUR,Independent
308,Haryana,KURUKSHETRA(2),lost,1154,( -541021),JAI PARKASH SHARMA,Independent
309,Haryana,KURUKSHETRA(2),lost,1134,( -541041),VARUN GUPTA,Independent
310,Haryana,KURUKSHETRA(2),lost,1066,( -541109),SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party
311,Haryana,KURUKSHETRA(2),lost,1032,( -541143),NARESH KUMAR,Samata Party
312,Haryana,KURUKSHETRA(2),lost,997,( -541178),SATISH DHULL,Bharatiya Asha Party
313,Haryana,KURUKSHETRA(2),lost,960,( -541215),ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal
314,Haryana,KURUKSHETRA(2),lost,718,( -541457),SEWA SINGH,Independent
315,Haryana,KURUKSHETRA(2),lost,717,( -541458),COMRADE RAMESH KHATKAR,Independent
316,Haryana,KURUKSHETRA(2),lost,715,( -541460),ER VISHAL KUMAR,Independent
317,Haryana,KURUKSHETRA(2),lost,678,( -541497),OM PARKASH INDAL,Global Republican Party
318,Haryana,KURUKSHETRA(2),lost,626,( -541549),PHOOL SINGH,Independent
319,Haryana,KURUKSHETRA(2),lost,576,( -541599),SUNNY KASHYAP TEORA,Independent
320,Haryana,KURUKSHETRA(2),lost,556,( -541619),RAMDIYA,Independent
321,Haryana,KURUKSHETRA(2),lost,509,( -541666),MANGAT RAM,Independent
322,Haryana,KURUKSHETRA(2),,2439,( -539736),NOTA,None of the Above
323,Himachal Pradesh,HAMIRPUR(3),won,607068,(+ 182357),ANURAG SINGH THAKUR,Bharatiya Janata Party
324,Himachal Pradesh,HAMIRPUR(3),lost,424711,( -182357),SATPAL RAIZADA,Indian National Congress
325,Himachal Pradesh,HAMIRPUR(3),lost,2758,( -604310),HEM RAJ,Bahujan Samaj Party
326,Himachal Pradesh,HAMIRPUR(3),lost,1764,( -605304),JAGDEEP KUMAR,Rashtriya Devbhumi Party
327,Himachal Pradesh,HAMIRPUR(3),lost,1410,( -605658),SURENDER KUMAR GAUTAM,Independent
328,Himachal Pradesh,HAMIRPUR(3),lost,1239,( -605829),SUBEDAR MAJOR KULWANT SINGH PATIAL,Bharatheeya Jawan Kisan Party
329,Himachal Pradesh,HAMIRPUR(3),lost,1019,( -606049),NAND LAL,Independent
330,Himachal Pradesh,HAMIRPUR(3),lost,675,( -606393),SUMIT RANA,Akhil Bhartiya Parivar Party
331,Himachal Pradesh,HAMIRPUR(3),lost,560,( -606508),RAMESH CHAND SARTHI,Independent
332,Himachal Pradesh,HAMIRPUR(3),lost,433,( -606635),ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal
333,Himachal Pradesh,HAMIRPUR(3),lost,246,( -606822),GARIB DASS KATOCH,Independent
334,Himachal Pradesh,HAMIRPUR(3),lost,202,( -606866),GOPI CHAND ATTARI,Independent
335,Himachal Pradesh,HAMIRPUR(3),,5178,( -601890),NOTA,None of the Above
336,Himachal Pradesh,MANDI(2),won,537022,(+ 74755),KANGNA RANAUT,Bharatiya Janata Party
337,Himachal Pradesh,MANDI(2),lost,462267,( -74755),VIKRAMADITYA SINGH,Indian National Congress
338,Himachal Pradesh,MANDI(2),lost,4393,( -532629),DR. PRAKASH CHAND BHARDWAJ,Bahujan Samaj Party
339,Himachal Pradesh,MANDI(2),lost,2447,( -534575),NARENDER KUMAR,Rashtriya Devbhumi Party
340,Himachal Pradesh,MANDI(2),lost,1051,( -535971),RAKHEE GUPTA,Independent
341,Himachal Pradesh,MANDI(2),lost,974,( -536048),SUBHASH MOHAN SNEHI,Independent
342,Himachal Pradesh,MANDI(2),lost,690,( -536332),VINAY KUMAR,Akhil Bhartiya Parivar Party
343,Himachal Pradesh,MANDI(2),lost,654,( -536368),MAHESH  SAINI,Himachal Janta Party
344,Himachal Pradesh,MANDI(2),lost,381,( -536641),DINESH KUMAR BHATI,Independent
345,Himachal Pradesh,MANDI(2),lost,286,( -536736),ASHUTOSH MAHANT,Independent
346,Himachal Pradesh,MANDI(2),,5645,( -531377),NOTA,None of the Above
347,Himachal Pradesh,KANGRA(1),won,632793,(+ 251895),DR RAJEEV BHARDWAJ,Bharatiya Janata Party
348,Himachal Pradesh,KANGRA(1),lost,380898,( -251895),ANAND SHARMA,Indian National Congress
349,Himachal Pradesh,KANGRA(1),lost,7753,( -625040),REKHA CHAUDHARY,Bahujan Samaj Party
350,Himachal Pradesh,KANGRA(1),lost,2319,( -630474),ADVOCATE SANJAY SHARMA,Independent
351,Himachal Pradesh,KANGRA(1),lost,2178,( -630615),DR KEHAR SINGH,Independent
352,Himachal Pradesh,KANGRA(1),lost,1476,( -631317),JEEVAN KUMAR,Akhil Bhartiya Parivar Party
353,Himachal Pradesh,KANGRA(1),lost,1171,( -631622),NARAIN SINGH DOGRA,Himachal Janta Party
354,Himachal Pradesh,KANGRA(1),lost,756,( -632037),BHUVNESH KUMAR,Rashtriya Devbhumi Party
355,Himachal Pradesh,KANGRA(1),lost,607,( -632186),DEV RAJ BHARDWAJ,Rashtriya Samaj Dal (R)
356,Himachal Pradesh,KANGRA(1),lost,545,( -632248),ACHAL SINGH,Independent
357,Himachal Pradesh,KANGRA(1),,6372,( -626421),NOTA,None of the Above
358,Karnataka,Mandya(20),won,851881,(+ 284620),H.D. KUMARASWAMY,Janata Dal  (Secular)
359,Karnataka,Mandya(20),lost,567261,( -284620),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress
360,Karnataka,Mandya(20),lost,12394,( -839487),CHANDAN GOWDA. K,Independent
361,Karnataka,Mandya(20),lost,6964,( -844917),SHIVASHANKARA. S,Bahujan Samaj Party
362,Karnataka,Mandya(20),lost,3810,( -848071),RAMAIAH. D,Independent
363,Karnataka,Mandya(20),lost,2909,( -848972),RANJITHA. N,Independent
364,Karnataka,Mandya(20),lost,1476,( -850405),CHANDRASHEKARA. K.R (CHANDRU KEELARA),Karnataka Rashtra Samithi
365,Karnataka,Mandya(20),lost,1370,( -850511),BUDAYYA. B.P,Karunaadu Party
366,Karnataka,Mandya(20),lost,1163,( -850718),LOKESHA. S (AARYA LOKESH),Uttama Prajaakeeya Party
367,Karnataka,Mandya(20),lost,931,( -850950),BEERESH. C.T (SAINIKA BEERESH),Independent
368,Karnataka,Mandya(20),lost,843,( -851038),N.BASAVARAJU,Independent
369,Karnataka,Mandya(20),lost,590,( -851291),H.D. REVANNA,Purvanchal Mahapanchayat
370,Karnataka,Mandya(20),lost,497,( -851384),CHANNAMAYIGOWDA,Independent
371,Karnataka,Mandya(20),lost,442,( -851439),S.ARVIND,Independent
372,Karnataka,Mandya(20),,7736,( -844145),NOTA,None of the Above
373,Madhya Pradesh,KHANDWA(28),won,862679,(+ 269971),GYANESHWAR PATIL,Bharatiya Janata Party
374,Madhya Pradesh,KHANDWA(28),lost,592708,( -269971),NARENDRA PATEL,Indian National Congress
375,Madhya Pradesh,KHANDWA(28),lost,11818,( -850861),MUNNALAL S/O DHANNALAL TEJI,Bahujan Samaj Party
376,Madhya Pradesh,KHANDWA(28),lost,9299,( -853380),ABHINESH SINGH,Rashtriya Jan Awaz Party
377,Madhya Pradesh,KHANDWA(28),lost,4905,( -857774),LAXMI NARAYAN KATARE,Independent
378,Madhya Pradesh,KHANDWA(28),lost,4347,( -858332),MANOJ KUMAR VISHWAMBHARNATH AGRAWAL,Independent
379,Madhya Pradesh,KHANDWA(28),lost,3709,( -858970),MAHESH PAWAR,Peoples Party of India (Democratic)
380,Madhya Pradesh,KHANDWA(28),lost,3481,( -859198),SHIVAM SEN,Independent
381,Madhya Pradesh,KHANDWA(28),lost,2685,( -859994),RAVINDRA SONVANE,Independent
382,Madhya Pradesh,KHANDWA(28),lost,2370,( -860309),PRAKASH RATHOR BANJARA,Aam Janta Party (India)
383,Madhya Pradesh,KHANDWA(28),lost,1702,( -860977),NARAYAN SUKHADEV PAL,Bharatiya Yuva Jan Ekta Party
384,Madhya Pradesh,KHANDWA(28),,12839,( -849840),NOTA,None of the Above
385,Madhya Pradesh,KHARGONE(27),won,819863,(+ 135018),GAJENDRA SINGH PATEL,Bharatiya Janata Party
386,Madhya Pradesh,KHARGONE(27),lost,684845,( -135018),PORLAL BATHA KHARTE,Indian National Congress
387,Madhya Pradesh,KHARGONE(27),lost,14686,( -805177),DEVISINGH NARGAVE,Communist Party of India
388,Madhya Pradesh,KHARGONE(27),lost,12069,( -807794),SHOBHARAM DAWAR,Bahujan Samaj Party
389,Madhya Pradesh,KHARGONE(27),lost,9058,( -810805),NARSINGH SOLANKI,Independent
390,Madhya Pradesh,KHARGONE(27),,18257,( -801606),NOTA,None of the Above
391,Madhya Pradesh,INDORE(26),won,1226751,(+ 1008077),SHANKAR LALWANI,Bharatiya Janata Party
392,Madhya Pradesh,INDORE(26),lost,51659,( -1175092),SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party
393,Madhya Pradesh,INDORE(26),lost,15210,( -1211541),PAWAN KUMAR,Akhil Bhartiya Parivar Party
394,Madhya Pradesh,INDORE(26),lost,8392,( -1218359),ABHAY JAIN,Independent
395,Madhya Pradesh,INDORE(26),lost,8238,( -1218513),LAVISH DILIP KHANDELWAL,Independent
396,Madhya Pradesh,INDORE(26),lost,7179,( -1219572),COMRADE AJEET SINGH,Socialist Unity Centre Of India (COMMUNIST)
397,Madhya Pradesh,INDORE(26),lost,7096,( -1219655),AYAZ ALI,Independent
398,Madhya Pradesh,INDORE(26),lost,3831,( -1222920),ENG. ARJUN PARIHAR,Independent
399,Madhya Pradesh,INDORE(26),lost,3676,( -1223075),BASANT GEHLOT,Jan Sangh Party
400,Madhya Pradesh,INDORE(26),lost,2621,( -1224130),RAVI SIRWAIYA,Independent
401,Madhya Pradesh,INDORE(26),lost,2609,( -1224142),MUDIT CHAURASIA,Independent
402,Madhya Pradesh,INDORE(26),lost,2403,( -1224348),PARMANAND TOLANI,Independent
403,Madhya Pradesh,INDORE(26),lost,1969,( -1224782),DESH BHAKT ANKIT GUPTA,Independent
404,Madhya Pradesh,INDORE(26),lost,1660,( -1225091),ADVOCATE PANKAJ GUPTE,Independent
405,Madhya Pradesh,INDORE(26),,218674,( -1008077),NOTA,None of the Above
406,Madhya Pradesh,DHAR(25),won,794449,(+ 218665),SAVITRI THAKUR,Bharatiya Janata Party
407,Madhya Pradesh,DHAR(25),lost,575784,( -218665),RADHESHYAM MUVEL,Indian National Congress
408,Madhya Pradesh,DHAR(25),lost,14956,( -779493),DHUMSINGH MANDLOI MACHHAR,Bahujan Samaj Party
409,Madhya Pradesh,DHAR(25),lost,10621,( -783828),JITENDRA MUNIYA,Bharat Adivasi Party
410,Madhya Pradesh,DHAR(25),lost,5408,( -789041),SUNIL AJRAWAT,Independent
411,Madhya Pradesh,DHAR(25),lost,4700,( -789749),SHIVAJI PATEL KALMI,Independent
412,Madhya Pradesh,DHAR(25),lost,3475,( -790974),VIKRAM VASUNIYA,Janata Congress
413,Madhya Pradesh,DHAR(25),,15651,( -778798),NOTA,None of the Above
414,Madhya Pradesh,RATLAM(24),won,795863,(+ 207232),ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party
415,Madhya Pradesh,RATLAM(24),lost,588631,( -207232),KANTILAL BHURIA,Indian National Congress
416,Madhya Pradesh,RATLAM(24),lost,52759,( -743104),ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party
417,Madhya Pradesh,RATLAM(24),lost,15172,( -780691),RAMCHANDRA SOLANKI,Bahujan Samaj Party
418,Madhya Pradesh,RATLAM(24),lost,10062,( -785801),SURAJ BHABHAR,Independent
419,Madhya Pradesh,RATLAM(24),lost,7335,( -788528),RANGLA KALESH,Independent
420,Madhya Pradesh,RATLAM(24),lost,7316,( -788547),KASNA RANA PARGI,Independent
421,Madhya Pradesh,RATLAM(24),lost,6930,( -788933),SUMITRA MEDA,Independent
422,Madhya Pradesh,RATLAM(24),lost,4607,( -791256),RAMESHWAR SINGAR,Independent
423,Madhya Pradesh,RATLAM(24),lost,4507,( -791356),MOHANSINGH NINGWAL,Bhartiya Samajik Party
424,Madhya Pradesh,RATLAM(24),lost,3930,( -791933),SHEETAL BARELA,Akhand Bharat Samrajya Party
425,Madhya Pradesh,RATLAM(24),lost,3796,( -792067),UDESINGH MACHAR,Republican Party of India (A)
426,Madhya Pradesh,RATLAM(24),,31735,( -764128),NOTA,None of the Above
427,Madhya Pradesh,MANDSOUR(23),won,945761,(+ 500655),SUDHEER GUPTA,Bharatiya Janata Party
428,Madhya Pradesh,MANDSOUR(23),lost,445106,( -500655),DILIP SINGH GURJAR,Indian National Congress
429,Madhya Pradesh,MANDSOUR(23),lost,10512,( -935249),KANHAIYALAL MALVIYA,Bahujan Samaj Party
430,Madhya Pradesh,MANDSOUR(23),lost,8826,( -936935),ISMAIL KHAN MAIV,Independent
431,Madhya Pradesh,MANDSOUR(23),lost,3439,( -942322),SUSHIL,Independent
432,Madhya Pradesh,MANDSOUR(23),lost,3167,( -942594),SAEED AHAMAD,Independent
433,Madhya Pradesh,MANDSOUR(23),lost,2696,( -943065),MURALIDHAR,Independent
434,Madhya Pradesh,MANDSOUR(23),lost,2323,( -943438),VIJAY RANN,Independent
435,Madhya Pradesh,MANDSOUR(23),,11662,( -934099),NOTA,None of the Above
436,Madhya Pradesh,UJJAIN(22),won,836104,(+ 375860),ANIL FIROJIYA,Bharatiya Janata Party
437,Madhya Pradesh,UJJAIN(22),lost,460244,( -375860),MAHESH PARMAR,Indian National Congress
438,Madhya Pradesh,UJJAIN(22),lost,9518,( -826586),ADVOCATE PRAKASH CHOUHAN,Bahujan Samaj Party
439,Madhya Pradesh,UJJAIN(22),lost,4976,( -831128),DR. HEMANT PARMAR,Bhim Sena
440,Madhya Pradesh,UJJAIN(22),lost,2791,( -833313),SURESH BAGARI,Independent
441,Madhya Pradesh,UJJAIN(22),lost,2476,( -833628),MAHESH PARMAR,Independent
442,Madhya Pradesh,UJJAIN(22),lost,1295,( -834809),GANGA MALVIYA,Independent
443,Madhya Pradesh,UJJAIN(22),lost,981,( -835123),ANIL,Independent
444,Madhya Pradesh,UJJAIN(22),lost,863,( -835241),ISHWARLAL VARSHI,Independent
445,Madhya Pradesh,UJJAIN(22),,9332,( -826772),NOTA,None of the Above
446,Madhya Pradesh,DEWAS(21),won,928941,(+ 425225),MAHENDRA SINGH SOLANKY,Bharatiya Janata Party
447,Madhya Pradesh,DEWAS(21),lost,503716,( -425225),RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress
448,Madhya Pradesh,DEWAS(21),lost,11203,( -917738),RAJENDRASINGH CHOKHUTIYA,Bahujan Samaj Party
449,Madhya Pradesh,DEWAS(21),lost,7220,( -921721),RAMPRASAD,Aazad Samaj Party (Kanshi Ram)
450,Madhya Pradesh,DEWAS(21),lost,2761,( -926180),NITIN VERMA,Independent
451,Madhya Pradesh,DEWAS(21),lost,2031,( -926910),ADVOCATE VIDAYARAJ MALAVIY,Social Democratic Party Of India
452,Madhya Pradesh,DEWAS(21),lost,1595,( -927346),ENG. DEEPAK RAMESH CHANDRA VICHITRA,Independent
453,Madhya Pradesh,DEWAS(21),lost,1248,( -927693),HEMRAJ POONAMCHANDRA BAMNIYA,Public Political Party
454,Madhya Pradesh,DEWAS(21),,10389,( -918552),NOTA,None of the Above
455,Madhya Pradesh,RAJGARH(20),won,758743,(+ 146089),RODMAL NAGAR,Bharatiya Janata Party
456,Madhya Pradesh,RAJGARH(20),lost,612654,( -146089),DIGVIJAYA SINGH,Indian National Congress
457,Madhya Pradesh,RAJGARH(20),lost,13942,( -744801),DR. RAJENDRA SURYAVANSHI,Bahujan Samaj Party
458,Madhya Pradesh,RAJGARH(20),lost,6614,( -752129),ASHOK PAWAR,Samata Samadhan Party
459,Madhya Pradesh,RAJGARH(20),lost,5063,( -753680),JITENDRA SINGH,National World Leader Party
460,Madhya Pradesh,RAJGARH(20),lost,4179,( -754564),DINESH RAZAWAT,Aazad Samaj Party (Kanshi Ram)
461,Madhya Pradesh,RAJGARH(20),lost,3744,( -754999),RODMAL,Independent
462,Madhya Pradesh,RAJGARH(20),lost,3089,( -755654),ANIL JAIN,Independent
463,Madhya Pradesh,RAJGARH(20),lost,2799,( -755944),RADHESHYAM MALVIYA,Independent
464,Madhya Pradesh,RAJGARH(20),lost,2713,( -756030),SUNEEL BHEEL,Independent
465,Madhya Pradesh,RAJGARH(20),lost,2560,( -756183),VISHAL SONI (ADVOCATE),Bharatiya Yuva Jan Ekta Party
466,Madhya Pradesh,RAJGARH(20),lost,1734,( -757009),JAGDISH KARPENTER,Independent
467,Madhya Pradesh,RAJGARH(20),lost,1418,( -757325),ANIL,Independent
468,Madhya Pradesh,RAJGARH(20),lost,1294,( -757449),RAMCHARAN PIRJAPATI,Lok Samaj Party
469,Madhya Pradesh,RAJGARH(20),lost,1191,( -757552),BABU SINGH,Sajag Samaj Party
470,Madhya Pradesh,RAJGARH(20),,7260,( -751483),NOTA,None of the Above
471,Madhya Pradesh,BHOPAL(19),won,981109,(+ 501499),ALOK SHARMA,Bharatiya Janata Party
472,Madhya Pradesh,BHOPAL(19),lost,479610,( -501499),ADVOCATE ARUN SHRIVASTAVA,Indian National Congress
473,Madhya Pradesh,BHOPAL(19),lost,13305,( -967804),BHANU PRATAP SINGH,Bahujan Samaj Party
474,Madhya Pradesh,BHOPAL(19),lost,3641,( -977468),DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent
475,Madhya Pradesh,BHOPAL(19),lost,2510,( -978599),JAY SINGH,Independent
476,Madhya Pradesh,BHOPAL(19),lost,1839,( -979270),BHARTI YADAV,Independent
477,Madhya Pradesh,BHOPAL(19),lost,1101,( -980008),ANKIT RAI,Independent
478,Madhya Pradesh,BHOPAL(19),lost,790,( -980319),AJAY KUMAR PATHAK,Chhatrapati Shivaji Bhartiya Garib Party
479,Madhya Pradesh,BHOPAL(19),lost,790,( -980319),DHANRAJ SHENDE,Republican Party of India (A)
480,Madhya Pradesh,BHOPAL(19),lost,778,( -980331),MOHAMMAD ASHRAF,Independent
481,Madhya Pradesh,BHOPAL(19),lost,720,( -980389),BABULAL SEN,Moulik Adhikar Party
482,Madhya Pradesh,BHOPAL(19),lost,622,( -980487),SANJAY KUMAR SAROJ,Manav Samadhan Party
483,Madhya Pradesh,BHOPAL(19),lost,588,( -980521),BALRAM SINGH TAUMAR,Bhartiya Shakti Chetna Party
484,Madhya Pradesh,BHOPAL(19),lost,575,( -980534),RAMPRASAD PATEL,Kranti Janshakti Party
485,Madhya Pradesh,BHOPAL(19),lost,544,( -980565),MUDIT CHAURASIA,Akhil Bhartiya Aarakshit Samaj Party
486,Madhya Pradesh,BHOPAL(19),lost,540,( -980569),MUDIT BHATNAGAR,Socialist Unity Centre Of India (COMMUNIST)
487,Madhya Pradesh,BHOPAL(19),lost,529,( -980580),R.K. MAHAJAN,Independent
488,Madhya Pradesh,BHOPAL(19),lost,473,( -980636),ABDUL TAHIR ADVOCATE (BABLU RAJNIKANT)  S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party
489,Madhya Pradesh,BHOPAL(19),lost,448,( -980661),MAITHILI SHARAN GUPTA,Independent
490,Madhya Pradesh,BHOPAL(19),lost,427,( -980682),RAJESH KEER,Independent
491,Madhya Pradesh,BHOPAL(19),lost,407,( -980702),AKSHAY GOTHI,Parivartan Party of India
492,Madhya Pradesh,BHOPAL(19),lost,318,( -980791),HITENDRA SHAHARE (BABA),Independent
493,Madhya Pradesh,BHOPAL(19),,6621,( -974488),NOTA,None of the Above
494,Madhya Pradesh,VIDISHA(18),won,1116460,(+ 821408),SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party
495,Madhya Pradesh,VIDISHA(18),lost,295052,( -821408),PRATAPBHANU SHARMA,Indian National Congress
496,Madhya Pradesh,VIDISHA(18),lost,10816,( -1105644),KISHAN LAL LADIYA,Bahujan Samaj Party
497,Madhya Pradesh,VIDISHA(18),lost,8178,( -1108282),KAMLESH KUMAR GOUR,Jai Prakash Janata Dal
498,Madhya Pradesh,VIDISHA(18),lost,3424,( -1113036),DHOOLSINGH DHAMMA,Independent
499,Madhya Pradesh,VIDISHA(18),lost,2925,( -1113535),SATYENDRA SINGH SISODIYA,Independent
500,Madhya Pradesh,VIDISHA(18),lost,2819,( -1113641),DHARMVIR BHARTI,Akhil Bhartiya Parivar Party
501,Madhya Pradesh,VIDISHA(18),lost,1682,( -1114778),ABDUL RASHID,Independent
502,Madhya Pradesh,VIDISHA(18),lost,1117,( -1115343),BHAI MUNSHILAL SILAWAT,Public Political Party
503,Madhya Pradesh,VIDISHA(18),lost,1082,( -1115378),ABDUL JABBAR,Independent
504,Madhya Pradesh,VIDISHA(18),lost,1073,( -1115387),SEEMA SHARMA,Sapaks Party
505,Madhya Pradesh,VIDISHA(18),lost,1026,( -1115434),DHARMENDRA SINGH PANWAR (GOLU BHAIYA),Right to Recall Party
506,Madhya Pradesh,VIDISHA(18),lost,724,( -1115736),BHEEKAM SINGH KUSHWAHA,Mahanwadi Party
507,Madhya Pradesh,VIDISHA(18),,9280,( -1107180),NOTA,None of the Above
508,Madhya Pradesh,HOSHANGABAD(17),won,812147,(+ 431696),DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party
509,Madhya Pradesh,HOSHANGABAD(17),lost,380451,( -431696),SANJAY SHARMA SANJU BHAIYA,Indian National Congress
510,Madhya Pradesh,HOSHANGABAD(17),lost,15387,( -796760),RAMGOVIND BARUAA,Bahujan Samaj Party
511,Madhya Pradesh,HOSHANGABAD(17),lost,6168,( -805979),PANDIT DIVYENDRA BRIJMOHAN DUBEY ADVOCATE,Bharatiya Yuva Jan Ekta Party
512,Madhya Pradesh,HOSHANGABAD(17),lost,5079,( -807068),RAKESH RAMPRASAD RICKY,Independent
513,Madhya Pradesh,HOSHANGABAD(17),lost,4493,( -807654),SARJERAO SAHARE,Independent
514,Madhya Pradesh,HOSHANGABAD(17),lost,2260,( -809887),PATRAKAR TILAK JATAV,Independent
515,Madhya Pradesh,HOSHANGABAD(17),lost,2215,( -809932),YUVRAJ GAVADE,Independent
516,Madhya Pradesh,HOSHANGABAD(17),lost,2046,( -810101),JYOTI SURESH JHARIYA,Independent
517,Madhya Pradesh,HOSHANGABAD(17),lost,1657,( -810490),MAKHAN SINGH LODHI,Bhartiya Shakti Chetna Party
518,Madhya Pradesh,HOSHANGABAD(17),lost,1588,( -810559),MUKESH YADAV,Independent
